Campaña,ENSO,Región,Departamento/Partido,Localidad,Zona,Cultivo,Subgrupo,1°/2°,Superficie Sembrada,Superficie Cosechada,Destino,Rendimiento,Antecesor,Genética,Ciclo_OK,Fecha de siembra (dd/mm/aaaa),Agua al inicio,Riego,Sistema de riego,Lámina de riego,Precipitaciones ciclo (sept-abril),Fertilización
2018-19,NIÑO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,1°,20.1,20.1,GRANO,4408.955224,MAÍZ DE 1° TEMPRANO,BIO 5.4,5 CORTO,2018-12-09,,NO,,,651.0,SIN FERTILIZACIÓN
2025-26,NIÑA,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,1°,20.1,20.1,GRANO,2030.0,SOJA DE 2°,DM 53I53 IPRO,5 CORTO,2026-01-27,160.0,SI,ASPERSIÓN PIVOT CENTRAL,20.0,763.0,SIN FERTILIZACIÓN
2025-26,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,NO OGM,2°,20.5,20.5,GRANO,3670.634146,CENTENO,OTRO,S/D,2025-12-20,220.0,SI,ASPERSIÓN PIVOT CENTRAL,33.0,993.0,SIN FERTILIZACIÓN
2020-21,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,NO OGM,2°,20.5,20.5,GRANO,2550.0,TRIGO,OTRO,S/D,2020-12-06,160.0,SI,ASPERSIÓN PIVOT CENTRAL,118.0,408.0,SIN FERTILIZACIÓN
2024-25,NEUTRO,COR,TOTORAL,LOS MISTOLES,5,SOJA,OGM,1°,20.7,20.7,GRANO,4010.0,MAÍZ DE 1° TARDIO,DM 60I62 IPRO,6 CORTO,2024-12-06,,NO,,,,SIN FERTILIZACIÓN
2023-24,NIÑO,COR,TOTORAL,VILLA DEL TOTORAL,1,SOJA,OGM,1°,20.7,20.7,GRANO,4910.0,MAÍZ DE 1° TARDIO,DM 53I53 IPRO,5 CORTO,2023-12-08,,NO,,,861.0,SIN FERTILIZACIÓN
2021-22,NIÑA,COR,TOTORAL,VILLA DEL TOTORAL,1,SOJA,OGM,1°,20.73,20.73,GRANO,2236.372407,MAÍZ DE 1° TARDIO,DM 4915 IPRO,4 LARGO,2021-11-13,,NO,,,568.0,SIN FERTILIZACIÓN
2013-14,NEUTRO,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,1°,20.8,20.8,GRANO,3240.0,MAÍZ DE 1° TEMPRANO,DM 6.2 I,6 CORTO,2013-12-12,,NO,,,,SIN FERTILIZACIÓN
2023-24,NIÑO,COR,ISCHILIN,AVELLANEDA,3,SOJA,OGM,1°,20.9,20.9,GRANO,3280.0,MAÍZ DE 2°,DM 50I17 IPRO STS,5 CORTO,2023-11-25,,NO,,,,CON FERTILIZACIÓN
2020-21,NIÑA,COR,TOTORAL,SANTA CATALINA,3,SOJA,NO OGM,1°,21.2,21.2,GRANO,3123.867925,CULTIVO DE SERVICIO,OTRO,S/D,2020-11-23,,NO,,,666.0,CON FERTILIZACIÓN
2013-14,NEUTRO,COR,TOTORAL,VILLA DEL TOTORAL,1,SOJA,OGM,1°,21.3,21.3,GRANO,3453.0,MAÍZ DE 1° TEMPRANO,A 5009 RG,5 CORTO,2013-12-02,,NO,,,,CON FERTILIZACIÓN
2017-18,NIÑA,COR,TOTORAL,VILLA DEL TOTORAL,1,SOJA,OGM,1°,21.3,21.3,GRANO,2150.140845,MAÍZ DE 1° TEMPRANO,DM 4915 IPRO,4 LARGO,2017-12-07,,NO,,,346.0,SIN FERTILIZACIÓN
2015-16,NIÑO,COR,TOTORAL,VILLA DEL TOTORAL,1,SOJA,OGM,1°,21.3,21.3,GRANO,4150.234742,MAÍZ DE 2°,DM 4212,4 CORTO,2015-11-07,,NO,,,,SIN FERTILIZACIÓN
2025-26,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,NO OGM,2°,21.3,21.3,GRANO,2699.530516,TRIGO,OTRO,S/D,2025-12-21,220.0,SI,ASPERSIÓN PIVOT CENTRAL,26.0,993.0,SIN FERTILIZACIÓN
2024-25,NEUTRO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,21.3,21.3,GRANO,3554.0,TRIGO,DM 60I62 IPRO,6 CORTO,2024-12-10,,SI,ASPERSIÓN PIVOT CENTRAL,86.0,,SIN FERTILIZACIÓN
2016-17,NIÑA,COR,TOTORAL,LOS MISTOLES,1,SOJA,OGM,1°,21.32,21.32,GRANO,3961.069418,MAÍZ DE 1° TEMPRANO,A 5009 RG,5 CORTO,2016-11-29,,NO,,,,SIN FERTILIZACIÓN
2020-21,NIÑA,COR,TOTORAL,LOS MISTOLES,1,SOJA,OGM,1°,21.32,21.32,GRANO,3337.242026,MAÍZ DE 2°,HO 59136 IPRO,5 LARGO,2020-12-18,,NO,,,519.0,SIN FERTILIZACIÓN
2025-26,NIÑA,COR,TULUMBA,SAN JOSÉ DE LA DORMIDA,5,SOJA,OGM,2°,21.4,21.4,GRANO,3653.0,TRIGO,LDC 5.9 STS,5 LARGO,2025-12-04,,NO,,,878.0,SIN FERTILIZACIÓN
2021-22,NIÑA,COR,SAN.JUSTO,ARROYITO,4,SOJA,OGM,1°,21.5,21.5,GRANO,1757.0,MAÍZ DE 1° TARDIO,60MS01 STS,6 CORTO,2021-12-17,,NO,,,485.0,CON FERTILIZACIÓN
2023-24,NIÑO,COR,ISCHILIN,AVELLANEDA,3,SOJA,OGM,1°,21.5,21.5,GRANO,2890.0,MAÍZ DE 1° TARDIO,DM 53I53 IPRO,5 CORTO,2023-12-28,,NO,,,572.0,SIN FERTILIZACIÓN
2017-18,NIÑA,COR,TOTORAL,VILLA DEL TOTORAL,1,SOJA,OGM,1°,21.5,21.5,GRANO,600.0,MAÍZ DE 2°,BIO 5.4,5 CORTO,2017-12-13,,NO,,,,SIN FERTILIZACIÓN
2021-22,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,1°,21.5,21.5,GRANO,2828.0,MAÍZ DE 2°,BIO 5.4,5 CORTO,2021-12-15,,NO,,,544.0,SIN FERTILIZACIÓN
2023-24,NIÑO,COR,SAN.JUSTO,ARROYITO,4,SOJA,OGM,1°,21.5,21.5,GRANO,1736.0,SORGO,NS 5030 IPRO STS,5 CORTO,2023-12-04,,NO,,,,SIN FERTILIZACIÓN
2024-25,NEUTRO,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,2°,21.5,21.5,GRANO,2980.0,TRIGO,DM 60I62 IPRO,6 CORTO,2024-12-20,,NO,,,676.0,SIN FERTILIZACIÓN
2025-26,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,21.5,21.5,GRANO,4235.348837,TRIGO,DM 60I62 IPRO,6 CORTO,2025-12-17,220.0,NO,,,993.0,SIN FERTILIZACIÓN
2020-21,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,NO OGM,2°,21.5,21.5,GRANO,2200.0,TRIGO,OTRO,S/D,2020-12-01,140.0,SI,ASPERSIÓN PIVOT CENTRAL,130.0,408.0,SIN FERTILIZACIÓN
2023-24,NIÑO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,1°,21.5,21.5,GRANO,3330.0,S/D,DM 53I53 IPRO,5 CORTO,2023-12-08,,NO,,,1004.0,S/D
2022-23,NIÑA,COR,SAN.JUSTO,ARROYITO,4,SOJA,OGM,1°,21.63,21.63,GRANO,2380.0,MAÍZ DE 1° TARDIO,DM 60I62 IPRO,6 CORTO,2022-11-26,,NO,,,533.0,SIN FERTILIZACIÓN
